C,0,0,4,7
C#,1,1,5,8
D,2,2,6,9
D#,3,3,7,10
E,4,4,8,11
F,5,5,9,0
F#,6,6,10,1
G,7,7,11,2
G#,8,8,0,3
A,9,9,1,4
A#,10,10,2,5
B,11,11,3,6
cm,0,0,3,7
c#m,1,1,4,8
dm,2,2,5,9
d#m,3,3,6,10
em,4,4,7,11
fm,5,5,8,0
f#m,6,6,9,1
gm,7,7,10,2
g#m,8,8,11,3
am,9,9,0,4
a#m,10,10,1,5
bm,11,11,2,6
C,0,0,4,7
C#,1,1,5,8
D,2,2,6,9
D#,3,3,7,10
E,4,4,8,11
F,5,5,9,0
F#,6,6,10,1
G,7,7,11,2
G#,8,8,0,3
A,9,9,1,4
A#,10,10,2,5
B,11,11,3,6
cm,0,0,3,7
c#m,1,1,4,8
dm,2,2,5,9
d#m,3,3,6,10
em,4,4,7,11
fm,5,5,8,0
f#m,6,6,9,1
gm,7,7,10,2
g#m,8,8,11,3
am,9,9,0,4
a#m,10,10,1,5
bm,11,11,2,6
C,0,0,4,7
C#,1,1,5,8
D,2,2,6,9
D#,3,3,7,10
E,4,4,8,11
F,5,5,9,0
F#,6,6,10,1
G,7,7,11,2
G#,8,8,0,3
A,9,9,1,4
A#,10,10,2,5
B,11,11,3,6
cm,0,0,3,7
c#m,1,1,4,8
dm,2,2,5,9
d#m,3,3,6,10
em,4,4,7,11
fm,5,5,8,0
f#m,6,6,9,1
gm,7,7,10,2
g#m,8,8,11,3
am,9,9,0,4
a#m,10,10,1,5
bm,11,11,2,6
C,0,0,0,0
C#,1,1,1,1
D,2,2,2,2
D#,3,3,3,3
E,4,4,4,4
F,5,5,5,5
F#,6,6,6,6
G,7,7,7,7
G#,8,8,8,8
A,9,9,9,9
A#,10,10,10,10
B,11,11,11,11
cm,0,0,0,0
c#m,1,1,1,1
dm,2,2,2,2
d#m,3,3,3,3
em,4,4,4,4
fm,5,5,5,5
f#m,6,6,6,6
gm,7,7,7,7
g#m,8,8,8,8
am,9,9,9,9
a#m,10,10,10,10
bm,11,11,11,11
C,0,0,0,4
C#,1,1,1,5
D,2,2,2,6
D#,3,3,3,7
E,4,4,4,8
F,5,5,5,9
F#,6,6,6,10
G,7,7,7,11
G#,8,8,8,0
A,9,9,9,1
A#,10,10,10,2
B,11,11,11,3
cm,0,0,0,3
c#m,1,1,1,4
dm,2,2,2,5
d#m,3,3,3,6
em,4,4,4,7
fm,5,5,5,8
f#m,6,6,6,9
gm,7,7,7,10
g#m,8,8,8,11
am,9,9,9,0
a#m,10,10,10,1
bm,11,11,11,2
C,0,0,0,7
C#,1,1,1,8
D,2,2,2,9
D#,3,3,3,10
E,4,4,4,11
F,5,5,5,0
F#,6,6,6,1
G,7,7,7,2
G#,8,8,8,3
A,9,9,9,4
A#,10,10,10,5
B,11,11,11,6
cm,0,0,0,7
c#m,1,1,1,8
dm,2,2,2,9
d#m,3,3,3,10
em,4,4,4,11
fm,5,5,5,0
