C,0,0,4,7
cm,0,0,3,7
C,0,0,4,7
cm,0,0,3,7
C,0,0,4,7
cm,0,0,3,7
C,0,0,0,0
cm,0,0,0,0
C,0,0,4,0
cm,0,0,3,0
C,0,0,7,0
cm,0,0,7,0
C,0,0,4,0
cm,0,0,3,0
C,0,0,4,4
cm,0,0,3,3
C,0,0,4,7
cm,0,0,3,7
C,0,0,7,0
cm,0,0,7,0
C,0,0,7,4
cm,0,0,7,3
C,0,0,7,7
cm,0,0,7,7
C,0,4,0,0
cm,0,3,0,0
C,0,4,0,4
cm,0,3,0,3
C,0,4,0,7
cm,0,3,0,7
C,0,4,0,4
cm,0,3,0,3
C,0,4,4,4
cm,0,3,3,3
C,0,4,7,4
cm,0,3,7,3
C,0,4,7,0
cm,0,3,7,0
C,0,4,7,4
cm,0,3,7,3
C,0,4,7,7
cm,0,3,7,7
C,0,7,0,0
cm,0,7,0,0
C,0,7,0,4
cm,0,7,0,3
C,0,7,0,7
cm,0,7,0,7
C,0,7,4,0
cm,0,7,3,0
C,0,7,4,4
cm,0,7,3,3
C,0,7,4,7
cm,0,7,3,7
C,0,7,0,7
cm,0,7,0,7
C,0,7,4,7
cm,0,7,3,7
C,0,7,7,7
cm,0,7,7,7
C,4,0,0,0
cm,3,0,0,0
C,4,0,4,0
cm,3,0,3,0
C,4,0,7,0
cm,3,0,7,0
C,4,0,4,0
cm,3,0,3,0
C,4,0,4,4
cm,3,0,3,3
C,4,0,4,7
cm,3,0,3,7
C,4,0,7,0
cm,3,0,7,0
C,4,0,7,4
cm,3,0,7,3
C,4,0,7,7
cm,3,0,7,7
C,4,4,0,0
cm,3,3,0,0
C,4,4,0,4
cm,3,3,0,3
C,4,4,0,7
cm,3,3,0,7
C,4,4,0,4
cm,3,3,0,3
C,4,4,4,4
cm,3,3,3,3
C,4,4,7,4
cm,3,3,7,3
C,4,4,7,0
cm,3,3,7,0
C,4,4,7,4
cm,3,3,7,3
C,4,4,7,7
cm,3,3,7,7
C,4,7,0,0
cm,3,7,0,0
C,4,7,0,4
cm,3,7,0,3
C,4,7,0,7
cm,3,7,0,7
C,4,7,4,0
cm,3,7,3,0
C,4,7,4,4
cm,3,7,3,3
C,4,7,4,7
cm,3,7,3,7
C,4,7,0,7
cm,3,7,0,7
C,4,7,4,7
cm,3,7,3,7
C,4,7,7,7
cm,3,7,7,7
C,7,0,0,0
cm,7,0,0,0
C,7,0,4,0
cm,7,0,3,0
C,7,0,7,0
cm,7,0,7,0
C,7,0,4,0
cm,7,0,3,0
C,7,0,4,4
cm,7,0,3,3
C,7,0,4,7
cm,7,0,3,7
C,7,0,7,0
cm,7,0,7,0
C,7,0,7,4
cm,7,0,7,3
C,7,0,7,7
cm,7,0,7,7
C,7,4,0,0
cm,7,3,0,0
C,7,4,0,4
cm,7,3,0,3
C,7,4,0,7
cm,7,3,0,7
C,7,4,0,4
cm,7,3,0,3
C,7,4,4,4
cm,7,3,3,3
C,7,4,7,4
cm,7,3,7,3
C,7,4,7,0
cm,7,3,7,0
C,7,4,7,4
cm,7,3,7,3
C,7,4,7,7
cm,7,3,7,7
C,7,7,0,0
cm,7,7,0,0
C,7,7,0,4
cm,7,7,0,3
C,7,7,0,7
cm,7,7,0,7
C,7,7,4,0
cm,7,7,3,0
C,7,7,4,4
cm,7,7,3,3
C,7,7,4,7
cm,7,7,3,7
C,7,7,0,7
cm,7,7,0,7
C,7,7,4,7
cm,7,7,3,7
C,7,7,7,7
cm,7,7,7,7
B,1,1,1,1
c#m,4,4,4,4
f#m,4,4,4,4
A,4,4,8,6
B,8,8,8,8
c#m,11,6,11,8
f#m,6,6,6,6
A,6,6,4,1
B,1,1,1,1
c#m,6,8,6,8
f#m,8,8,8,8
A,11,8,4,11
B,8,8,4,6
c#m,4,4,8,11
f#m,6,6,6,6
A,6,6,4,1
B,8,8,1,11
c#m,1,1,11,1
f#m,1,1,8,6
A,6,6,8,4
B,1,4,6,1
c#m,1,1,8,11
f#m,6,6,4,1
A,6,6,8,4
B,6,6,4,1
c#m,1,1,11,1
f#m,1,1,8,6
A,6,6,8,4
B,1,4,6,1
c#m,1,1,8,11
f#m,6,6,1,4
A,11,6,8,11
B,1,1,8,11
c#m,4,4,6,4
f#m,6,6,4,8
A,6,6,4,6
B,6,6,4,8
c#m,1,1,4,6
f#m,6,6,4,8
A,6,6,4,6
B,8,6,8,4
c#m,4,4,6,4
f#m,6,6,8,11
A,6,6,4,6
B,6,6,4,8
c#m,1,1,4,6
f#m,8,8,1,4
A,6,6,4,6
B,8,6,8,4
c#m,1,1,4,1
f#m,6,6,8,6
A,4,4,6,4
B,8,6,8,4
c#m,1,1,4,1
f#m,6,6,8,6
A,4,4,6,4
B,8,6,8,4
c#m,1,1,4,1
f#m,6,6,8,6
A,4,4,6,4
B,8,6,8,4
c#m,1,1,4,6
f#m,8,8,1,4
A,6,6,4,6
B,8,8,6,4
c#m,1,4,1,4
f#m,4,4,4,4
A,4,4,8,6
B,8,8,8,8
c#m,11,6,11,8
f#m,6,6,6,6
A,6,6,4,6
B,8,8,8,8
c#m,11,1,8,11
f#m,6,6,6,6
A,6,6,4,8
B,4,4,4,4
c#m,4,4,8,4
f#m,4,8,4,8
A,6,6,4,1
B,8,8,1,11
c#m,1,1,11,1
f#m,1,1,8,6
A,6,6,8,4
B,1,4,6,1
c#m,1,1,8,11
f#m,6,6,4,1
A,6,6,8,4
B,6,6,4,1
c#m,1,1,11,1
f#m,1,1,8,6
A,6,6,8,4
B,1,4,6,1
c#m,1,1,8,11
f#m,6,6,1,4
A,11,6,8,11
B,1,1,8,11
c#m,4,4,6,4
f#m,6,6,4,8
A,6,6,4,6
B,6,6,4,8
c#m,1,1,4,6
f#m,6,6,4,8
A,6,6,4,6
B,8,6,8,4
c#m,4,4,6,4
f#m,6,6,8,11
A,6,6,4,6
B,6,6,4,8
c#m,1,1,4,6
f#m,8,8,1,4
A,6,6,4,6
